method,dataset,encoder,model,timestamp,n_seeds,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name
vanilla_advtrain,bail,gat,vanilla,20260205-124203,10,0.9342070089967645,0.0144180802569165,0.8412887679262674,0.0389345470063158,0.8779826234371688,0.0396743566750612,0.0752618057931923,0.0111896487389517,0.0497430031266682,0.0158316614863485,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574
vanilla_advtrain,bail,gcn,vanilla,20260205-125627,10,0.8867462454809548,0.0032648998412222,0.7868572497562398,0.0073979529403874,0.8365543547361728,0.0087053466133571,0.0830194850943054,0.0067744508682853,0.0421154579424998,0.0095874207939003,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298
vanilla_advtrain,bail,gin,vanilla,20260205-125356,10,0.8375040369115293,0.0156330211918144,0.7068883941184211,0.0238514797895359,0.7479762661580844,0.0419816931463487,0.1087942088206284,0.0165497949726713,0.0712666819187066,0.0149515249857045,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364
vanilla_advtrain,bail,sage,vanilla,20260205-125448,10,0.911424230040438,0.0088083456528406,0.8194301573450842,0.0146696870283174,0.8720703538885358,0.0130264942060278,0.0211688145033975,0.0160556568542018,0.0130328681461145,0.0109843376867128,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.033946860725703534
vanilla_advtrain,bail,sgc,vanilla,20260205-125542,10,0.9013204335834306,0.0080378468725996,0.8070667765772539,0.0126502886022596,0.853040898495444,0.0133422950416227,0.0426351641826238,0.0045842705014377,0.0282155113246396,0.0055451344061607,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038482961843717946
vanilla_advtrain,german,gat,vanilla,20260205-135019,10,0.4976419047619047,0.0583529259536052,0.5900122549019607,0.3584128776365052,0.5836,0.1780467354376372,0.0091925804691762,0.0275777414075286,0.008298319327731,0.0248949579831932,vanilla_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0040875779010632
vanilla_advtrain,german,gcn,vanilla,20260205-165751,10,0.5486933333333333,0.0331796568551415,0.5734187104263204,0.2355689670420595,0.5331999999999999,0.1081783712208683,0.0638843426077468,0.0489761429153503,0.0516806722689075,0.0434289990743052,vanilla_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.014400076721566254
vanilla_advtrain,german,gin,vanilla,20260205-165115,10,0.6937219047619048,0.0180099669054806,0.6788950839155673,0.1347687399491673,0.6267999999999999,0.0868110592033065,0.1342471358428805,0.0679936507740414,0.1040966386554622,0.055665232629713,vanilla_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0016102038883533546
vanilla_advtrain,german,sage,vanilla,20260205-164556,10,0.7026895238095238,0.0352794617427998,0.7387437349111928,0.0989265728747925,0.6708,0.069075031668469,0.2867430441898527,0.1090580921773884,0.2206932773109244,0.1299064011638494,vanilla_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.008248896555909517
vanilla_advtrain,german,sgc,vanilla,20260205-165313,10,0.5996342857142858,0.0184789409832908,0.6736623419234385,0.0067901294528701,0.5788,0.0078076885183772,0.1131205673758865,0.0423434670552186,0.0967436974789915,0.0351489172583754,vanilla_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03558271965216747
vanilla_advtrain,nba,gat,vanilla,20260205-140021,10,0.7153846153846154,0.0423387609311616,0.6873574279685875,0.0467314817611011,0.6734177215189874,0.0352617424738838,0.2276714513556619,0.0968564732361447,0.1666666666666666,0.1064581294844754,vanilla_nba_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006118713031011232
vanilla_advtrain,nba,gcn,vanilla,20260205-172442,10,0.7558974358974359,0.0199683345643257,0.7180421399193964,0.0384940539116819,0.7012658227848101,0.0227848101265822,0.4117224880382775,0.0629782637942066,0.2266666666666666,0.0646357314322177,vanilla_nba_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005602617956493825
vanilla_advtrain,nba,gin,vanilla,20260205-171525,10,0.6029487179487181,0.0404965887638966,0.5356993736273606,0.1896198502219844,0.5658227848101266,0.0490414446273683,0.2372408293460925,0.1241021262059482,0.1866666666666667,0.1351542328847552,vanilla_nba_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0381397720513228
vanilla_advtrain,nba,sage,vanilla,20260205-171300,10,0.644871794871795,0.0163304348754577,0.5808084690479858,0.0565931895858926,0.5924050632911392,0.0387267304829831,0.128548644338118,0.0844036256895246,0.09,0.055876848714134,vanilla_nba_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006778779553232976
